604	1.04892	5.7964E-1	6.4E-4
605	1.0456	5.668E-1	6E-4
606	1.037	5.5404E-1	5.4E-4
607	1.0284	5.4128E-1	4.8E-4
608	1.0198	5.2852E-1	4.2E-4
609	1.0112	5.1576E-1	3.6E-4
610	1.0026	5.03E-1	3E-4
611	9.8976E-1	4.9064E-1	2.8E-4
612	9.7692E-1	4.7828E-1	2.6E-4
613	9.6408E-1	4.6592E-1	2.4E-4
614	9.5124E-1	4.5356E-1	2.2E-4
615	9.384E-1	4.412E-1	2E-4
616	9.216E-1	4.2916E-1	2E-4
617	9.048E-1	4.1712E-1	2E-4
618	8.88E-1	4.0508E-1	2E-4
619	8.712E-1	3.9304E-1	2E-4
620	8.544E-1	3.81E-1	2E-4
621	8.338E-1	3.69E-1	1.8E-4
622	8.132E-1	3.57E-1	1.6E-4
623	7.926E-1	3.45E-1	1.4E-4
624	7.72E-1	3.33E-1	1.2E-4
625	7.514E-1	3.21E-1	1E-4
626	7.296E-1	3.098E-1	8E-5
627	7.078E-1	2.986E-1	6E-5
628	6.86E-1	2.874E-1	4E-5
629	6.642E-1	2.762E-1	2E-5
630	6.424E-1	2.65E-1	0
631	6.223E-1	2.554E-1	0
632	6.022E-1	2.458E-1	0
633	5.821E-1	2.362E-1	0
634	5.62E-1	2.266E-1	0
635	5.419E-1	2.17E-1	0
636	5.231E-1	2.086E-1	0
637	5.043E-1	2.002E-1	0
638	4.855E-1	1.918E-1	0
639	4.667E-1	1.834E-1	0
640	4.479E-1	1.75E-1	0
641	4.3048E-1	1.6764E-1	0
642	4.1306E-1	1.6028E-1	0
643	3.9564E-1	1.5292E-1	0
644	3.7822E-1	1.4556E-1	0
645	3.608E-1	1.382E-1	0
646	3.4534E-1	1.3196E-1	0
647	3.2988E-1	1.2572E-1	0
648	3.1442E-1	1.1948E-1	0
649	2.9896E-1	1.1324E-1	0
650	2.835E-1	1.07E-1	0
651	2.7054E-1	1.0192E-1	0
652	2.5758E-1	9.684E-2	0
653	2.4462E-1	9.176E-2	0
654	2.3166E-1	8.668E-2	0
655	2.187E-1	8.16E-2	0
656	2.0794E-1	7.748E-2	0
657	1.9718E-1	7.336E-2	0
658	1.8642E-1	6.924E-2	0
659	1.7566E-1	6.512E-2	0
660	1.649E-1	6.1E-2	0
661	1.5616E-1	5.772E-2	0
662	1.4742E-1	5.444E-2	0
663	1.3868E-1	5.116E-2	0
664	1.2994E-1	4.788E-2	0
665	1.212E-1	4.46E-2	0
666	1.1444E-1	4.208E-2	0
667	1.0768E-1	3.956E-2	0
668	1.0092E-1	3.704E-2	0
669	9.416E-2	3.452E-2	0
670	8.74E-2	3.2E-2	0
671	8.264E-2	3.024E-2	0
672	7.788E-2	2.848E-2	0
673	7.312E-2	2.672E-2	0
674	6.836E-2	2.496E-2	0
675	6.36E-2	2.32E-2	0
676	6.024E-2	2.196E-2	0
677	5.688E-2	2.072E-2	0
678	5.352E-2	1.948E-2	0
679	5.016E-2	1.824E-2	0
680	4.68E-2	1.7E-2	0
681	4.402E-2	1.598E-2	0
682	4.124E-2	1.496E-2	0
683	3.846E-2	1.394E-2	0
684	3.568E-2	1.292E-2	0
685	3.29E-2	1.19E-2	0
686	3.086E-2	1.116E-2	0
687	2.882E-2	1.042E-2	0
688	2.678E-2	9.68E-3	0
689	2.474E-2	8.94E-3	0
690	2.27E-2	8.2E-3	0
691	2.132E-2	7.7E-3	0
692	1.994E-2	7.2E-3	0
693	1.856E-2	6.7E-3	0
694	1.718E-2	6.2E-3	0
695	1.58E-2	5.7E-3	0
696	1.492E-2	5.38E-3	0
697	1.404E-2	5.06E-3	0
698	1.316E-2	4.74E-3	0
699	1.228E-2	4.42E-3	0
700	1.14E-2	4.1E-3	0
701	1.074E-2	3.86E-3	0
702	1.008E-2	3.62E-3	0
703	9.42E-3	3.38E-3	0
704	8.76E-3	3.14E-3	0
705	8.1E-3	2.9E-3	0
706	7.64E-3	2.74E-3	0
707	7.18E-3	2.58E-3	0
708	6.72E-3	2.42E-3	0
709	6.26E-3	2.26E-3	0
710	5.8E-3	2.1E-3	0
711	5.46E-3	1.98E-3	0
712	5.12E-3	1.86E-3	0
713	4.78E-3	1.74E-3	0
714	4.44E-3	1.62E-3	0
715	4.1E-3	1.5E-3	0
716	3.86E-3	1.4E-3	0
717	3.62E-3	1.3E-3	0
718	3.38E-3	1.2E-3	0
719	3.14E-3	1.1E-3	0
720	2.9E-3	1E-3	0
721	2.72E-3	9.4E-4	0
722	2.54E-3	8.8E-4	0
723	2.36E-3	8.2E-4	0
724	2.18E-3	7.6E-4	0
725	2E-3	7E-4	0
726	1.88E-3	6.6E-4	0
727	1.76E-3	6.2E-4	0
728	1.64E-3	5.8E-4	0
729	1.52E-3	5.4E-4	0
730	1.4E-3	5E-4	0
731	1.32E-3	4.8E-4	0
732	1.24E-3	4.6E-4	0
733	1.16E-3	4.4E-4	0
734	1.08E-3	4.2E-4	0
735	1E-3	4E-4	0
736	9.4E-4	3.6E-4	0
737	8.8E-4	3.2E-4	0
738	8.2E-4	2.8E-4	0
739	7.6E-4	2.4E-4	0
740	7E-4	2E-4	0
741	6.6E-4	2E-4	0
